,timestamp,x,y,z,Time
0,1649658610758,0.017710006,0.0075900024,-0.0118510565,2022:04:11:15:30:10.758
1,1649658610759,0.023036323,0.0118510565,-0.01291632,2022:04:11:15:30:10.759
2,1649658610781,0.016644742,0.01291632,-0.010785793,2022:04:11:15:30:10.781
3,1649658610799,0.008122634,0.006524739,-0.0075900024,2022:04:11:15:30:10.799
4,1649658610827,-0.0025300009,-0.0009321056,-0.004394212,2022:04:11:15:30:10.827
5,1649658610842,-0.012117373,-0.0062584234,0.0009321056,2022:04:11:15:30:10.842
6,1649658610861,-0.018508954,-0.010519478,0.00519316,2022:04:11:15:30:10.861
7,1649658610879,-0.021704745,-0.012650005,0.0083889505,2022:04:11:15:30:10.879
8,1649658610906,-0.019574217,-0.010519478,0.009454214,2022:04:11:15:30:10.906
9,1649658610926,-0.011052109,-0.0062584234,0.007323687,2022:04:11:15:30:10.926
10,1649658610943,-0.00039947382,0.00013315794,0.0062584234,2022:04:11:15:30:10.943
11,1649658610960,0.010253161,0.0054594753,0.0030626326,2022:04:11:15:30:10.960
12,1649658610983,0.016644742,0.010785793,-0.0011984215,2022:04:11:15:30:10.983
13,1649658611002,0.01877527,0.0118510565,-0.006524739,2022:04:11:15:30:11.002
14,1649658611025,0.017710006,0.009720529,-0.008655266,2022:04:11:15:30:11.025
15,1649658611042,0.012383688,0.006524739,-0.004394212,2022:04:11:15:30:11.042
16,1649658611065,0.0027963168,0.002263685,-0.00013315794,2022:04:11:15:30:11.065
17,1649658611082,-0.0057257917,-0.0041278964,0.00519316,2022:04:11:15:30:11.082
18,1649658611110,-0.0142479,-0.007323687,0.0083889505,2022:04:11:15:30:11.110
19,1649658611126,-0.016378427,-0.0083889505,0.009454214,2022:04:11:15:30:11.126
20,1649658611144,-0.013182636,-0.009454214,0.0083889505,2022:04:11:15:30:11.144
21,1649658611165,-0.008921582,-0.00519316,0.0062584234,2022:04:11:15:30:11.165
22,1649658611184,-0.0014647373,-0.0009321056,0.0030626326,2022:04:11:15:30:11.184
23,1649658611204,0.005992107,0.0033289485,-0.0011984215,2022:04:11:15:30:11.204
24,1649658611225,0.011318425,0.0075900024,-0.006524739,2022:04:11:15:30:11.225
25,1649658611245,0.015579479,0.009720529,-0.0075900024,2022:04:11:15:30:11.245
