,timestamp,x,y,z,Time
0,1649137977234,0.0029294747,-0.0011984215,0.0006657897,2022:04:05:14:52:57.234
1,1649137977235,0.0029294747,0.0030626326,0.0017310532,2022:04:05:14:52:57.235
2,1649137977245,0.0018642112,0.001997369,0.0027963168,2022:04:05:14:52:57.245
3,1649137977270,0.0018642112,0.0009321056,0.0017310532,2022:04:05:14:52:57.270
4,1649137977287,-0.00026631588,-0.0011984215,-0.0025300009,2022:04:05:14:52:57.287
5,1649137977306,-0.0013315794,-0.00013315794,-0.004660528,2022:04:05:14:52:57.306
6,1649137977327,-0.0034621065,-0.002263685,-0.007856319,2022:04:05:14:52:57.327
7,1649137977352,-0.0055926335,-0.004394212,-0.007856319,2022:04:05:14:52:57.352
8,1649137977369,-0.006657897,-0.004394212,-0.008921582,2022:04:05:14:52:57.369
9,1649137977388,-0.008788424,-0.004394212,-0.009986846,2022:04:05:14:52:57.388
10,1649137977409,-0.0077231606,-0.004394212,-0.006791055,2022:04:05:14:52:57.409
11,1649137977429,-0.0055926335,-0.0033289485,-0.004660528,2022:04:05:14:52:57.429
12,1649137977454,-0.0034621065,-0.002263685,-0.0014647373,2022:04:05:14:52:57.454
13,1649137977470,-0.002396843,-0.00013315794,0.0017310532,2022:04:05:14:52:57.470
14,1649137977488,-0.00026631588,0.0009321056,0.0038615803,2022:04:05:14:52:57.488
15,1649137977508,0.003994738,0.001997369,0.0038615803,2022:04:05:14:52:57.508
16,1649137977531,0.0050600017,0.0030626326,0.0038615803,2022:04:05:14:52:57.531
17,1649137977549,0.0050600017,0.001997369,0.0027963168,2022:04:05:14:52:57.549
18,1649137977572,0.0050600017,0.001997369,0.0049268436,2022:04:05:14:52:57.572
19,1649137977589,0.003994738,0.0030626326,0.005992107,2022:04:05:14:52:57.589
20,1649137977610,0.0018642112,0.001997369,0.0070573706,2022:04:05:14:52:57.610
21,1649137977636,0.00079894764,-0.00013315794,0.0070573706,2022:04:05:14:52:57.636
22,1649137977652,-0.00026631588,-0.0011984215,0.0070573706,2022:04:05:14:52:57.652
23,1649137977670,-0.00026631588,-0.00013315794,0.005992107,2022:04:05:14:52:57.670
24,1649137977691,-0.00026631588,-0.00013315794,0.0027963168,2022:04:05:14:52:57.691
25,1649137977711,0.00079894764,-0.00013315794,0.0006657897,2022:04:05:14:52:57.711
26,1649137977736,0.0018642112,0.001997369,-0.0014647373,2022:04:05:14:52:57.736
27,1649137977752,-0.00026631588,0.0009321056,-0.0035952644,2022:04:05:14:52:57.752
28,1649137977771,-0.0013315794,-0.0011984215,-0.0057257917,2022:04:05:14:52:57.771
29,1649137977792,-0.0013315794,-0.0011984215,-0.004660528,2022:04:05:14:52:57.792
30,1649137977812,-0.002396843,-0.002263685,-0.0057257917,2022:04:05:14:52:57.812
31,1649137977836,-0.0034621065,-0.002263685,-0.0057257917,2022:04:05:14:52:57.836
32,1649137977853,-0.002396843,-0.002263685,-0.004660528,2022:04:05:14:52:57.853
33,1649137977872,-0.00452737,-0.002263685,-0.004660528,2022:04:05:14:52:57.872
34,1649137977895,-0.0034621065,-0.0033289485,-0.004660528,2022:04:05:14:52:57.895
35,1649137977919,-0.0034621065,-0.0033289485,-0.0025300009,2022:04:05:14:52:57.919
36,1649137977937,-0.0013315794,-0.00013315794,-0.00039947382,2022:04:05:14:52:57.937
37,1649137977953,-0.00026631588,-0.00013315794,0.0006657897,2022:04:05:14:52:57.953
38,1649137977976,-0.00026631588,-0.00013315794,0.0017310532,2022:04:05:14:52:57.976
39,1649137977994,0.00079894764,0.001997369,0.0027963168,2022:04:05:14:52:57.994
40,1649137978014,0.0029294747,0.001997369,0.0027963168,2022:04:05:14:52:58.014
41,1649137978038,0.0029294747,0.001997369,0.0049268436,2022:04:05:14:52:58.038
42,1649137978055,0.0018642112,0.0009321056,0.005992107,2022:04:05:14:52:58.055
43,1649137978075,0.0018642112,0.001997369,0.0049268436,2022:04:05:14:52:58.075
44,1649137978095,0.0018642112,0.001997369,0.0038615803,2022:04:05:14:52:58.095
45,1649137978119,0.0018642112,-0.00013315794,0.0049268436,2022:04:05:14:52:58.119
46,1649137978137,0.00079894764,-0.00013315794,0.0038615803,2022:04:05:14:52:58.137
47,1649137978155,-0.00026631588,0.0009321056,0.0017310532,2022:04:05:14:52:58.155
48,1649137978176,-0.00026631588,0.0009321056,0.0006657897,2022:04:05:14:52:58.176
49,1649137978196,-0.00026631588,0.0009321056,-0.0014647373,2022:04:05:14:52:58.196
50,1649137978221,-0.00026631588,-0.00013315794,-0.0025300009,2022:04:05:14:52:58.221
51,1649137978236,-0.00026631588,-0.00013315794,-0.0035952644,2022:04:05:14:52:58.236
52,1649137978257,-0.00026631588,0.0009321056,-0.0025300009,2022:04:05:14:52:58.257
