,timestamp,x,y,z,Time
0,1648867766176,-0.0027963168,0.01291632,0.0013315794,2022:04:02:11:49:26.176
1,1648867766177,0.0035952644,-0.00519316,-0.00079894764,2022:04:02:11:49:26.177
2,1648867766189,0.0025300009,0.0033289485,-0.003994738,2022:04:02:11:49:26.189
3,1648867766213,0.00039947382,0.0011984215,-0.0061252653,2022:04:02:11:49:26.213
4,1648867766230,-0.0027963168,-0.0009321056,-0.003994738,2022:04:02:11:49:26.230
5,1648867766249,-0.0017310532,-0.001997369,-0.0029294747,2022:04:02:11:49:26.249
6,1648867766270,-0.0049268436,-0.0030626326,-0.0029294747,2022:04:02:11:49:26.270
7,1648867766297,-0.0049268436,-0.0041278964,-0.0018642112,2022:04:02:11:49:26.297
8,1648867766313,-0.0038615803,-0.0030626326,-0.003994738,2022:04:02:11:49:26.313
9,1648867766330,-0.0017310532,-0.0030626326,-0.003994738,2022:04:02:11:49:26.330
10,1648867766352,-0.0006657897,-0.0009321056,-0.0018642112,2022:04:02:11:49:26.352
11,1648867766371,-0.0006657897,-0.0009321056,-0.0018642112,2022:04:02:11:49:26.371
12,1648867766396,0.00039947382,0.00013315794,-0.0018642112,2022:04:02:11:49:26.396
13,1648867766413,0.00039947382,0.0011984215,-0.0018642112,2022:04:02:11:49:26.413
14,1648867766432,0.0014647373,0.0011984215,-0.0018642112,2022:04:02:11:49:26.432
15,1648867766452,0.00039947382,-0.0009321056,-0.0018642112,2022:04:02:11:49:26.452
16,1648867766473,-0.0006657897,-0.0009321056,0.0013315794,2022:04:02:11:49:26.473
17,1648867766493,-0.0006657897,0.00013315794,0.00452737,2022:04:02:11:49:26.493
18,1648867766513,-0.0006657897,0.0011984215,0.0034621065,2022:04:02:11:49:26.513
19,1648867766534,0.00039947382,0.00013315794,0.00026631588,2022:04:02:11:49:26.534
20,1648867766553,0.00039947382,0.00013315794,-0.0018642112,2022:04:02:11:49:26.553
21,1648867766576,0.0014647373,0.0011984215,-0.003994738,2022:04:02:11:49:26.576
22,1648867766596,0.0014647373,0.00013315794,-0.0061252653,2022:04:02:11:49:26.596
23,1648867766615,0.0014647373,0.0011984215,-0.0050600017,2022:04:02:11:49:26.615
24,1648867766635,0.0025300009,0.0011984215,-0.0050600017,2022:04:02:11:49:26.635
25,1648867766655,0.0025300009,0.002263685,-0.0050600017,2022:04:02:11:49:26.655
26,1648867766676,0.0014647373,0.0011984215,-0.007190529,2022:04:02:11:49:26.676
27,1648867766695,0.0025300009,0.0011984215,-0.007190529,2022:04:02:11:49:26.695
28,1648867766716,0.0014647373,0.0011984215,-0.01038632,2022:04:02:11:49:26.716
29,1648867766737,0.0014647373,0.00013315794,-0.012516847,2022:04:02:11:49:26.737
30,1648867766756,0.00039947382,-0.0009321056,-0.015712637,2022:04:02:11:49:26.756
31,1648867766776,0.00039947382,-0.0009321056,-0.014647374,2022:04:02:11:49:26.776
32,1648867766796,0.00039947382,-0.0009321056,-0.012516847,2022:04:02:11:49:26.796
33,1648867766818,0.0025300009,0.00013315794,-0.01358211,2022:04:02:11:49:26.818
34,1648867766837,0.0025300009,0.0011984215,-0.018908428,2022:04:02:11:49:26.837
35,1648867766859,0.0014647373,-0.0009321056,-0.027430536,2022:04:02:11:49:26.859
36,1648867766879,0.0035952644,-0.0009321056,-0.042344224,2022:04:02:11:49:26.879
37,1648867766898,0.0057257917,0.0011984215,-0.05938844,2022:04:02:11:49:26.898
38,1648867766919,0.008921582,0.00013315794,-0.07536739,2022:04:02:11:49:26.919
39,1648867766939,0.0142479,0.0011984215,-0.091346346,2022:04:02:11:49:26.939
40,1648867766959,0.0142479,0.015046847,-0.10839056,2022:04:02:11:49:26.959
41,1648867766978,0.016378427,-0.007323687,-0.1339569,2022:04:02:11:49:26.978
42,1648867767000,-0.0006657897,-0.013715268,-0.142479,2022:04:02:11:49:27.000
43,1648867767020,-0.0027963168,-0.00519316,-0.14887057,2022:04:02:11:49:27.020
44,1648867767038,0.0057257917,-0.013715268,-0.17337164,2022:04:02:11:49:27.038
45,1648867767062,0.008921582,-0.014780532,-0.20746008,2022:04:02:11:49:27.062
46,1648867767079,0.0035952644,-0.017976321,-0.23409165,2022:04:02:11:49:27.079
47,1648867767099,-0.0027963168,-0.023302639,-0.25433168,2022:04:02:11:49:27.099
48,1648867767120,0.006791055,-0.015845794,-0.27776745,2022:04:02:11:49:27.120
49,1648867767142,0.0142479,-0.012650005,-0.30972537,2022:04:02:11:49:27.142
50,1648867767160,0.012117373,-0.009454214,-0.35446644,2022:04:02:11:49:27.160
51,1648867767181,0.027031062,-0.0062584234,-0.41199067,2022:04:02:11:49:27.181
52,1648867767202,0.045140542,0.004394212,-0.4492749,2022:04:02:11:49:27.202
53,1648867767222,0.030226853,0.0118510565,-0.48016754,2022:04:02:11:49:27.222
